OQTSFL,9547078,Y,M,0,0,0,1
OQRVWA,9522222,Y,H,0,0,0,1
JHQNAU,9575498,Y,K,0,0,0,1
NPGKSZ,9539482,Y,B,0,0,0,1
GTBFOT,9561475,Y,V,0,0,0,1
OQSXJD,9546797,Y,M,0,0,0,1
OQSXJD,9548083,Y,M,0,0,0,2
OTLJXM,9528616,Y,H,0,0,0,1
NPBGFF,9512508,Y,H,0,0,0,1
NPBGFF,9511952,Y,H,0,0,0,2
KQPHTD,9498560,Y,Y,0,0,0,1
IBPLVF,9563230,Y,H,0,0,0,1
IBPLVF,9562522,Y,L,0,0,0,2
JCKDYF,9538603,Y,L,0,0,0,1
JGMHEQ,9566329,Y,B,0,0,0,1
JFBOFZ,9502253,Y,B,0,0,0,1
JFBOFZ,9509143,Y,B,0,0,0,2
JGICZN,9526397,Y,B,0,0,0,1
OTVKNP,9532020,Y,H,0,0,0,1
OTVKNP,9531896,Y,B,0,0,0,2
JOTNFW,9547078,Y,Y,0,0,0,1
IYNRMX,9574863,Y,H,0,0,0,1
JCNOHC,9554410,Y,V,0,0,0,1
JCWGCH,9502253,Y,L,0,0,0,1
JCWGCH,9509143,Y,L,0,0,0,2
JJAQRL,9545392,Y,L,0,0,0,1
KSVFPY,9572189,Y,Q,0,0,0,1
JCYKSJ,9539482,Y,B,0,0,0,1
KSZHYQ,9498560,Y,E,0,0,0,1
IYJMBQ,9566576,Y,B,0,0,0,1
KSVVVT,9572189,Y,Q,0,0,0,1
KSVVVT,9648873,Y,L,0,0,0,2
IYISUN,9527455,Y,Y,0,0,0,1
IYISUN,9610469,Y,L,0,0,0,2
KRPYWY,9526270,Y,K,0,0,0,1
IZKXZQ,9787657,Y,Y,0,0,0,1
IYIOBY,9566329,Y,B,0,0,0,1
KLOXGU,9561475,Y,R,0,0,0,1
KLOXGU,9562114,Y,R,0,0,0,2
IUTMJO,9503231,Y,L,0,0,0,1
KLNCRI,9502997,Y,L,0,0,0,1
ASFFCZ,9573375,Y,H,0,0,0,1
ASFFCZ,9651961,Y,K,0,0,0,2
ASFFCZ,9505627,Y,K,0,0,0,3
OTOEGP,9528742,Y,H,0,0,0,1
