VNAFMD,2,550,530,,,0,0,0,1,0,1,1,0,0
YIDSSH,2,850,552,,,0,0,0,0,0,1,1,0,0
PRBYGV,1,650,316,,,0,0,0,0,0,1,1,0,0
GNIRXC,2,1300,959,,,0,0,0,1,0,1,1,0,0
WYDUCP,1,850,540,TrueBlue,,0,0,0,0,0,1,1,0,0
OBXZAK,1,300,109,,,0,0,0,0,0,1,1,0,0
AETFSZ,1,400,146,,,0,0,0,0,0,1,1,0,0
TLDNMT,2,350,125,,,0,0,0,0,0,1,1,0,0
CRZJAI,1,750,423,,,0,0,0,0,0,1,1,0,0
PPDDPK,1,350,232,,,0,0,0,0,0,1,1,0,0
BJEQML,1,1025,730,TrueBlue,,0,0,0,0,0,1,1,0,0
GGOGLH,1,800,755,TrueBlue,,0,0,0,0,0,1,1,0,0
FPXJPG,2,1050,167,,,0,0,0,0,0,1,1,0,0
MHPVYP,1,625,109,TrueBlue,,0,0,0,0,0,1,1,0,0
SNAQGS,2,650,360,,,0,0,0,0,0,1,1,0,0
FLTSCN,2,400,146,,,0,0,0,0,0,1,1,0,0
MWLICX,1,450,334,,,0,0,0,0,0,1,1,0,0
NXSCYX,1,650,125,TrueBlue,,0,0,0,0,0,1,1,0,0
ODEKZB,2,800,420,TrueBlue,,0,0,0,1,0,1,1,0,0
MSRYZN,2,850,465,TrueBlue,,0,0,0,1,0,1,1,0,0
GXHRZM,2,1000,146,TrueBlue,,0,0,0,1,0,1,1,0,0
ZGMMXU,1,450,180,,,0,0,0,0,0,1,1,0,0
VBHEGO,2,600,109,TrueBlue,,0,0,0,0,0,1,1,0,0
BWCLKE,1,750,167,TrueBlue,,0,0,0,0,0,1,1,0,0
HZEFPD,2,350,116,,,0,0,0,0,0,1,1,0,0
IOATQZ,1,400,310,,,0,0,0,0,0,1,1,0,0
CRFLNP,1,550,167,,,0,0,0,1,0,1,1,0,0
WMYMUO,2,350,116,,,0,0,0,0,0,1,1,0,0
XHEDMX,1,950,316,TrueBlue,,0,0,0,0,0,1,1,0,0
HCICFL,2,350,116,,,0,0,0,0,0,1,1,0,0
MGGGSH,2,550,430,,,0,0,0,0,0,1,1,0,0
ZDBWLA,2,750,116,TrueBlue,,0,0,0,1,0,1,1,0,0
ABUITL,3,350,277,,,0,0,0,0,0,1,1,0,0
EDOPQL,2,650,232,TrueBlue,,0,0,0,0,0,1,1,0,0
YCHNAC,1,450,232,,,0,0,0,1,0,1,1,0,0
TKSCCV,3,1200,146,TrueBlue,,0,0,0,0,0,1,1,0,0
VXSQKK,2,650,125,TrueBlue,,0,0,0,0,0,1,1,0,0
JBNKZU,1,400,292,,,0,0,0,0,0,1,1,0,0
BSIILN,1,450,167,,,0,0,0,0,0,1,1,0,0
ORAGPS,4,650,316,,,0,0,0,0,0,1,1,0,0
HEJICZ,3,400,416,,,0,0,0,0,0,1,1,0,0
GMFOXF,1,500,146,,,0,0,0,1,0,1,1,0,0
SVOEHS,1,700,730,,,0,0,0,0,0,1,1,0,0
HYBEOG,1,750,167,TrueBlue,,0,0,0,0,0,1,1,0,0
TRIHLN,2,400,146,,,0,0,0,0,0,1,1,0,0
QZZIAJ,1,750,360,TrueBlue,,0,0,0,0,0,1,1,0,0
CGOMZJ,2,650,632,,,0,0,0,0,0,1,1,0,0
GBSHFL,2,900,552,TrueBlue,,0,0,0,1,0,1,1,0,0
IQNXXN,4,550,180,,,0,0,0,1,0,1,1,0,0
VQAATM,1,350,116,,,0,0,0,0,0,1,1,0,0
PWKWMP,1,675,478,,,0,0,0,1,0,1,1,0,0
QTDTLI,4,800,310,TrueBlue,,0,0,0,1,0,1,1,0,0
XCMMSL,2,400,146,,,0,0,0,0,0,1,1,0,0
YURJXO,3,450,360,,,0,0,0,0,0,1,1,0,0
BWSDQE,1,850,239,,,0,0,0,0,0,1,1,0,1
